task_id,task_description,timestamp,session_id,episode,state,selected_action,raw_confidence_score,normalized_confidence,confidence_category,q_values_json,normalized_q_scores_json,q_value_spread,action_rank,relative_advantage,uncertainty
TASK_20251001_120402_9748,open notepad,2025-10-01T12:04:02.521241,20251001_120402,0,intent_open_notepad,volume_up,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20251001_120402_4364,take screenshot,2025-10-01T12:04:02.664954,20251001_120402,0,intent_take_screenshot,open_photo_viewer,0.8799999999999999,0.8799999999999999,High,"{""open_photo_viewer"": 0.6299385000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.5299385000000001,1,0.0,0.73503075
TASK_20251001_120402_7238,mute audio,2025-10-01T12:04:02.817429,20251001_120402,0,intent_mute_audio,open_settings,0.82,0.82,High,"{""open_settings"": 0.33485, ""open_notepad"": 0.1, ""mute_audio"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0, ""mute_audio"": 0.0}",0.23484999999999998,1,0.0,0.882575
TASK_20251001_120402_5289,some unknown action,2025-10-01T12:04:02.942762,20251001_120402,0,intent_unknown_action,open_music_player,0.97,0.97,High,"{""open_music_player"": 0.8167735455, ""volume_up"": 0.05}","{""open_music_player"": 1.0, ""volume_up"": 0.0}",0.7667735455,1,0.0,0.61661322725
TASK_20251001_120442_2674,open notepad,2025-10-01T12:04:42.916459,20251001_120425,0,intent_open_notepad,check_battery_status,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20251001_120514_1023,open notepad,2025-10-01T12:05:15.229991,20251001_120425,0,intent_open_notepad,open_notepad,0.85,0.85,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.53146, ""check_battery_status"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""check_battery_status"": 0.0}",0.48146000000000005,1,0.0,0.75927
TASK_20251001_120536_5015,open browser,2025-10-01T12:05:36.326850,20251001_120425,0,intent_open_browser,clear_browser_data,0.41,0.41,Medium,"{""clear_browser_data"": 0.095}","{""clear_browser_data"": 0.095}",0.0,0,0.0,1.0
TASK_20251001_120604_1074,open browser,2025-10-01T12:06:05.252709,20251001_120425,0,intent_open_browser,open_browser,0.73,0.73,Medium-High,"{""clear_browser_data"": 0.055499999999999994, ""open_browser"": 0.1}","{""clear_browser_data"": 0.0, ""open_browser"": 1.0}",0.04450000000000001,1,0.0,0.97775
TASK_20251001_120638_8359,open photo viewer,2025-10-01T12:06:39.176835,20251001_120425,0,intent_open_photo_viewer,toggle_audio,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_120658_4792,open photo viewer,2025-10-01T12:06:58.355611,20251001_120425,0,intent_open_photo_viewer,check_privacy_settings,0.0,0.0,Low,"{""toggle_audio"": 0.05, ""open_photo_viewer"": 0.1}","{""toggle_audio"": 0.0, ""open_photo_viewer"": 1.0}",0.05,0,-0.1,0.975
TASK_20251001_120718_8924,open photo viewer,2025-10-01T12:07:18.501589,20251001_120425,0,intent_open_photo_viewer,open_photo_viewer,0.76,0.76,Medium-High,"{""toggle_audio"": 0.05, ""open_photo_viewer"": 0.19, ""check_privacy_settings"": -0.03}","{""toggle_audio"": 0.36363636363636365, ""open_photo_viewer"": 1.0, ""check_privacy_settings"": 0.0}",0.22,1,0.0,0.89
TASK_20251001_120818_2921,open settings,2025-10-01T12:08:18.554441,20251001_120425,0,intent_open_settings,open_settings,0.73,0.73,Medium-High,"{""show_running_processes"": 0.095, ""open_settings"": 0.1}","{""show_running_processes"": 0.0, ""open_settings"": 1.0}",0.0050000000000000044,1,0.0,0.9975
TASK_20251001_120842_9635,take_screenshot,2025-10-01T12:08:42.777284,20251001_120425,0,intent_take_screenshot,open_photo_viewer,0.8799999999999999,0.8799999999999999,High,"{""open_photo_viewer"": 0.6299385000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.5299385000000001,1,0.0,0.73503075
TASK_20251001_120914_1277,take_screenshot ,2025-10-01T12:09:14.848395,20251001_120425,0,intent_take_screenshot,open_photo_viewer,0.9099999999999999,0.9099999999999999,High,"{""open_photo_viewer"": 0.6169446500000001, ""open_notepad"": 0.1, ""take_screenshot"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0, ""take_screenshot"": 0.0}",0.5169446500000001,1,0.0,0.7415276749999999
TASK_20251001_120941_1957,take_screenshot ,2025-10-01T12:09:42.089482,20251001_120425,0,intent_take_screenshot,open_photo_viewer,0.94,0.94,High,"{""open_photo_viewer"": 0.605250185, ""open_notepad"": 0.1, ""take_screenshot"": 0.19}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0, ""take_screenshot"": 0.17812957356957718}",0.5052501850000001,1,0.0,0.7473749075
TASK_20251001_121654_5424,take screenshot,2025-10-01T12:16:54.835635,20251001_121654,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_121654_8521,open notepad,2025-10-01T12:16:54.987151,20251001_121654,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,1,0.0,0.25
TASK_20251001_121655_4284,mute audio,2025-10-01T12:16:55.114852,20251001_121654,0,intent_mute_audio,mute_audio,0.7899999999999999,0.7899999999999999,Medium-High,"{""mute_audio"": 2.0, ""unmute_audio"": -0.5, ""volume_down"": 1.0, ""toggle_audio"": 1.5}","{""mute_audio"": 1.0, ""unmute_audio"": 0.0, ""volume_down"": 0.6, ""toggle_audio"": 0.8}",2.5,1,0.0,0.0
TASK_20251001_121655_6442,open browser,2025-10-01T12:16:55.231880,20251001_121654,0,intent_open_browser,open_browser,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_browser"": 2.0, ""search_online"": 1.5, ""open_notepad"": 0.1}","{""open_browser"": 1.0, ""search_online"": 0.7368421052631579, ""open_notepad"": 0.0}",1.9,1,0.0,0.050000000000000044
TASK_20251001_121655_6118,show system info,2025-10-01T12:16:55.359945,20251001_121654,0,intent_show_system_info,show_system_info,0.7899999999999999,0.7899999999999999,Medium-High,"{""show_system_info"": 2.0, ""check_network_status"": 1.2, ""check_disk_usage"": 1.2, ""check_memory_usage"": 1.2, ""take_screenshot"": 0.1}","{""show_system_info"": 1.0, ""check_network_status"": 0.5789473684210525, ""check_disk_usage"": 0.5789473684210525, ""check_memory_usage"": 0.5789473684210525, ""take_screenshot"": 0.0}",1.9,1,0.0,0.050000000000000044
TASK_20251001_121940_2156,take screenshot,2025-10-01T12:19:40.617170,20251001_121940,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_122057_8800,take screenshot,2025-10-01T12:20:57.256198,20251001_122041,0,intent_take_screenshot,check_battery_status,0.2333333333333333,0.2333333333333333,Low-Medium,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,0,-2.0,0.0
TASK_20251001_122127_5387,take screenshot,2025-10-01T12:21:29.645273,20251001_122041,0,intent_take_screenshot,take_screenshot,0.82,0.82,High,"{""take_screenshot"": 1.9, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1, ""check_battery_status"": 0.05}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.37931034482758624, ""open_browser"": 0.37931034482758624, ""check_battery_status"": 0.3620689655172414}",2.9,1,0.0,0.0
TASK_20251001_122159_1256,open_photo_viewer,2025-10-01T12:21:59.882069,20251001_122041,0,intent_open_photo_viewer,start_timer,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_122229_8375,open_photo_viewer,2025-10-01T12:22:30.352878,20251001_122041,0,intent_open_photo_viewer,open_photo_viewer,0.73,0.73,Medium-High,"{""start_timer"": 0.05, ""open_photo_viewer"": 0.1}","{""start_timer"": 0.0, ""open_photo_viewer"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_122359_1245,taake_screenshot,2025-10-01T12:24:02.188022,20251001_122338,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_122437_6319,open settings,2025-10-01T12:24:37.921536,20251001_122338,0,intent_open_settings,check_disk_usage,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_122502_9402,open_settings,2025-10-01T12:25:02.477382,20251001_122338,0,intent_open_settings,open_settings,0.73,0.73,Medium-High,"{""check_disk_usage"": 0.05, ""open_settings"": 0.1}","{""check_disk_usage"": 0.0, ""open_settings"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_122530_1587,open_photo_folder,2025-10-01T12:25:30.688313,20251001_122338,0,intent_open_documents_folder,open_video_player,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_122615_1677,open_calendar,2025-10-01T12:26:15.120338,20251001_122338,0,intent_open_calendar,lock_screen,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_122639_8955,open_calendar,2025-10-01T12:26:39.476580,20251001_122338,0,intent_open_calendar,open_calendar,0.73,0.73,Medium-High,"{""lock_screen"": -0.15000000000000002, ""open_calendar"": 0.1}","{""lock_screen"": 0.0, ""open_calendar"": 1.0}",0.25,1,0.0,0.875
TASK_20251001_122718_5858,open_notepad,2025-10-01T12:27:18.548692,20251001_122338,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,1,0.0,0.25
TASK_20251001_124535_3723,open photo viewer,2025-10-01T12:45:36.057567,20251001_122338,0,intent_open_photo_viewer,open_downloads_folder,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_124606_5178,open photo viewer,2025-10-01T12:46:06.794637,20251001_122338,0,intent_open_photo_viewer,open_photo_viewer,0.73,0.73,Medium-High,"{""open_downloads_folder"": 0.05, ""open_photo_viewer"": 0.1}","{""open_downloads_folder"": 0.0, ""open_photo_viewer"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_124942_8096,take screenshot,2025-10-01T12:49:43.107660,20251001_124942,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_124943_6997,open notepad,2025-10-01T12:49:43.269913,20251001_124942,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,1,0.0,0.25
TASK_20251001_124943_8259,mute audio,2025-10-01T12:49:43.447541,20251001_124942,0,intent_mute_audio,close_active_window,0.13999999999999999,0.13999999999999999,Low,"{""mute_audio"": 2.0, ""unmute_audio"": -0.5, ""volume_down"": 1.0, ""toggle_audio"": 1.5}","{""mute_audio"": 1.0, ""unmute_audio"": 0.0, ""volume_down"": 0.6, ""toggle_audio"": 0.8}",2.5,0,-2.0,0.0
TASK_20251001_124943_4701,open browser,2025-10-01T12:49:43.582958,20251001_124942,0,intent_open_browser,open_browser,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_browser"": 2.0, ""search_online"": 1.5, ""open_notepad"": 0.1}","{""open_browser"": 1.0, ""search_online"": 0.7368421052631579, ""open_notepad"": 0.0}",1.9,1,0.0,0.050000000000000044
TASK_20251001_124943_6189,show system info,2025-10-01T12:49:43.713182,20251001_124942,0,intent_show_system_info,show_system_info,0.7899999999999999,0.7899999999999999,Medium-High,"{""show_system_info"": 2.0, ""check_network_status"": 1.2, ""check_disk_usage"": 1.2, ""check_memory_usage"": 1.2, ""take_screenshot"": 0.1}","{""show_system_info"": 1.0, ""check_network_status"": 0.5789473684210525, ""check_disk_usage"": 0.5789473684210525, ""check_memory_usage"": 0.5789473684210525, ""take_screenshot"": 0.0}",1.9,1,0.0,0.050000000000000044
TASK_20251001_125417_8006,take screenshot,2025-10-01T12:54:19.565383,20251001_125417,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_125550_8952,take screenshot,2025-10-01T12:55:50.619370,20251001_125550,0,intent_take_screenshot,create_document,0.2333333333333333,0.2333333333333333,Low-Medium,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,0,-2.0,0.0
TASK_20251001_125727_3438,take screenshot,2025-10-01T12:57:29.675765,20251001_122338,0,intent_take_screenshot,take_screenshot,0.82,0.82,High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_130432_2486,take screenshot,2025-10-01T13:04:36.676599,20251001_130432,0,intent_take_screenshot,take_screenshot,0.7899999999999999,0.7899999999999999,Medium-High,"{""take_screenshot"": 2.0, ""open_photo_viewer"": -1.0, ""show_system_info"": 0.1, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.3666666666666667, ""open_browser"": 0.3666666666666667}",3.0,1,0.0,0.0
TASK_20251001_130640_8579,take screenshot,2025-10-01T13:06:44.127366,20251001_130640,0,intent_take_screenshot,take_screenshot,1.0,1.0,High,"{""take_screenshot"": 5.0, ""open_photo_viewer"": -0.5, ""show_system_info"": -0.5, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.0, ""open_browser"": 0.10909090909090909}",5.5,1,0.0,0.0
TASK_20251001_130732_1737,mute_audio,2025-10-01T13:07:33.476873,20251001_130723,0,intent_mute_audio,mute_audio,0.7899999999999999,0.7899999999999999,Medium-High,"{""mute_audio"": 2.0, ""unmute_audio"": -0.5, ""volume_down"": 1.0, ""toggle_audio"": 1.5}","{""mute_audio"": 1.0, ""unmute_audio"": 0.0, ""volume_down"": 0.6, ""toggle_audio"": 0.8}",2.5,1,0.0,0.0
TASK_20251001_130808_2642,open_documents_folder,2025-10-01T13:08:09.058504,20251001_130723,0,intent_open_documents_folder,maximize_window,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_130930_3632,open_documents_folder,2025-10-01T13:09:34.742758,20251001_130723,0,intent_open_documents_folder,open_documents_folder,0.73,0.73,Medium-High,"{""maximize_window"": 0.05, ""open_documents_folder"": 0.1}","{""maximize_window"": 0.0, ""open_documents_folder"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_134715_2402,open_notepad,2025-10-01T13:47:15.949225,20251001_134706,0,intent_open_notepad,scan_for_malware,0.0,0.0,Low,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,0,-2.0,0.25
TASK_20251001_134750_2522,open_notepad,2025-10-01T13:47:50.479713,20251001_134706,0,intent_open_notepad,open_notepad,0.82,0.82,High,"{""open_notepad"": 1.9, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5, ""scan_for_malware"": 0.05}","{""open_notepad"": 1.0, ""open_text_editor"": 0.945945945945946, ""create_new_file"": 0.5135135135135135, ""open_file_browser"": 0.24324324324324326, ""scan_for_malware"": 0.0}",1.8499999999999999,1,0.0,0.07500000000000007
TASK_20251001_134831_2633,open_settings,2025-10-01T13:48:32.266900,20251001_134706,0,intent_open_settings,close_active_window,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_134852_8910,open_settings,2025-10-01T13:48:53.332644,20251001_134706,0,intent_open_settings,open_settings,0.73,0.73,Medium-High,"{""close_active_window"": 0.05, ""open_settings"": 0.1}","{""close_active_window"": 0.0, ""open_settings"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_134937_2957,open_calendar,2025-10-01T13:49:38.294068,20251001_134706,0,intent_open_calendar,open_photo_viewer,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_135009_9714,open_calendar,2025-10-01T13:50:09.756447,20251001_134706,0,intent_open_calendar,open_calendar,0.73,0.73,Medium-High,"{""open_photo_viewer"": 0.05, ""open_calendar"": 0.1}","{""open_photo_viewer"": 0.0, ""open_calendar"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_135042_6324,open_notepad,2025-10-01T13:50:42.491450,20251001_134706,0,intent_open_notepad,open_notepad,0.85,0.85,High,"{""open_notepad"": 1.8599999999999999, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5, ""scan_for_malware"": 0.05}","{""open_notepad"": 1.0, ""open_text_editor"": 0.9668508287292819, ""create_new_file"": 0.5248618784530387, ""open_file_browser"": 0.24861878453038677, ""scan_for_malware"": 0.0}",1.8099999999999998,1,0.0,0.09500000000000008
TASK_20251001_135708_9179,open notepad,2025-10-01T13:57:09.047132,20251001_135653,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,1,0.0,0.25
TASK_20251001_135742_7042,open_calendar,2025-10-01T13:57:42.780804,20251001_135653,0,intent_open_calendar,check_network_status,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_135815_9765,open_calendar,2025-10-01T13:58:15.657937,20251001_135653,0,intent_open_calendar,check_network_status,0.38,0.38,Low-Medium,"{""check_network_status"": 0.1, ""open_calendar"": 0.1}","{""check_network_status"": 0.5, ""open_calendar"": 0.5}",0.0,1,0.0,1.0
TASK_20251001_135841_6087,open_calendar,2025-10-01T13:58:41.714397,20251001_135653,0,intent_open_calendar,check_network_status,0.41,0.41,Medium,"{""check_network_status"": 0.19, ""open_calendar"": 0.19}","{""check_network_status"": 0.5, ""open_calendar"": 0.5}",0.0,1,0.0,1.0
TASK_20251001_135927_1767,open_calendar,2025-10-01T13:59:27.570389,20251001_135919,0,intent_open_calendar,open_notepad,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_135956_1560,open calendar,2025-10-01T13:59:56.611223,20251001_135919,0,intent_open_calendar,open_calendar,0.73,0.73,Medium-High,"{""open_notepad"": 0.05, ""open_calendar"": 0.1}","{""open_notepad"": 0.0, ""open_calendar"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_140029_1803,open documents folder,2025-10-01T14:00:29.715770,20251001_135919,0,intent_open_documents_folder,start_timer,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_140054_8303,open documents folder,2025-10-01T14:00:55.107182,20251001_135919,0,intent_open_documents_folder,open_documents_folder,0.73,0.73,Medium-High,"{""start_timer"": 0.05, ""open_documents_folder"": 0.1}","{""start_timer"": 0.0, ""open_documents_folder"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_140136_6276,open documents folder,2025-10-01T14:01:37.060623,20251001_135919,0,intent_open_documents_folder,open_documents_folder,0.76,0.76,Medium-High,"{""start_timer"": 0.05, ""open_documents_folder"": 0.24}","{""start_timer"": 0.0, ""open_documents_folder"": 1.0}",0.19,1,0.0,0.905
TASK_20251001_140231_2692,open browser,2025-10-01T14:02:32.105476,20251001_135919,0,intent_open_browser,open_browser,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_browser"": 2.0, ""search_online"": 1.5, ""open_notepad"": 0.1}","{""open_browser"": 1.0, ""search_online"": 0.7368421052631579, ""open_notepad"": 0.0}",1.9,1,0.0,0.050000000000000044
TASK_20251001_145808_3462,open notepad,2025-10-01T14:58:09.201901,20251001_135919,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_notepad"": 2.0, ""open_text_editor"": 1.8, ""create_new_file"": 1.0, ""open_file_browser"": 0.5}","{""open_notepad"": 1.0, ""open_text_editor"": 0.8666666666666667, ""create_new_file"": 0.3333333333333333, ""open_file_browser"": 0.0}",1.5,1,0.0,0.25
TASK_20251001_145846_4192,open calendar,2025-10-01T14:58:46.801565,20251001_135919,0,intent_open_calendar,open_calendar,0.76,0.76,Medium-High,"{""open_notepad"": 0.05, ""open_calendar"": 0.24}","{""open_notepad"": 0.0, ""open_calendar"": 1.0}",0.19,1,0.0,0.905
TASK_20251001_145918_8247,open browser,2025-10-01T14:59:19.182118,20251001_135919,0,intent_open_browser,open_browser,0.82,0.82,High,"{""open_browser"": 1.95, ""search_online"": 1.5, ""open_notepad"": 0.1}","{""open_browser"": 1.0, ""search_online"": 0.7567567567567568, ""open_notepad"": 0.0}",1.8499999999999999,1,0.0,0.07500000000000007
TASK_20251001_145952_7537,open documents folder,2025-10-01T14:59:52.526762,20251001_135919,0,intent_open_documents_folder,open_documents_folder,0.7899999999999999,0.7899999999999999,Medium-High,"{""start_timer"": 0.05, ""open_documents_folder"": 0.366}","{""start_timer"": 0.0, ""open_documents_folder"": 1.0}",0.316,1,0.0,0.842
TASK_20251001_150023_8539,take screenshot,2025-10-01T15:00:25.866228,20251001_135919,0,intent_take_screenshot,take_screenshot,1.0,1.0,High,"{""take_screenshot"": 5.0, ""open_photo_viewer"": -0.5, ""show_system_info"": -0.5, ""open_browser"": 0.1}","{""take_screenshot"": 1.0, ""open_photo_viewer"": 0.0, ""show_system_info"": 0.0, ""open_browser"": 0.10909090909090909}",5.5,1,0.0,0.0
TASK_20251001_150058_5680,open settings,2025-10-01T15:00:58.229347,20251001_135919,0,intent_open_settings,close_all_windows,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_150124_5305,open settings,2025-10-01T15:01:24.401323,20251001_135919,0,intent_open_settings,open_settings,0.73,0.73,Medium-High,"{""close_all_windows"": 0.05, ""open_settings"": 0.1}","{""close_all_windows"": 0.0, ""open_settings"": 1.0}",0.05,1,0.0,0.975
